Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.00515,1.00615,1.0049,1.0053,474,1.005675,237,15,0.0005445,0.002967,0.002457,NO,NO
1.0053,1.0054,1.0046,1.0046,188,1.00516,103,20,0.0011715,0.004032,0.0017055,NO,NO
1.00435,1.0048,1.00395,1.00455,301,1.004405,139,25,0.0003615,0.002307,-0.001746,NO,NO
1.0045,1.00545,1.00445,1.00525,290,1.00506,151,30,0.000303,0.000726,-0.0023535,NO,NO
1.0053,1.0053,1.00455,1.005,169,1.00478,78,35,0.0014985,0.001668,0.000378,NO,NO
1.00485,1.0057,1.00445,1.00565,273,1.00515,118,40,0.001209,-0.000477,-0.0001305,NO,NO
1.0057,1.00635,1.0055,1.0062,199,1.005935,95,45,0.0019575,0.000444,0.0020745,NO,NO
1.00625,1.00635,1.00595,1.00595,314,1.006205,123,50,0.002331,0.002367,0.0031005,BUY,NO
1.0059,1.00605,1.0056,1.006,167,1.005835,93,55,0.001881,0.002346,0.001926,NO,NO
1.00585,1.0068,1.00525,1.00675,549,1.005845,226,0,0.0009945,0.002379,0.0002205,NO,NO
1.0068,1.0074,1.0063,1.0074,852,1.006845,322,5,0.001299,0.003537,0.001323,NO,NO
1.00735,1.00755,1.00685,1.00715,427,1.007215,178,10,0.0023895,0.004479,0.003294,NO,NO
1.0072,1.00745,1.00685,1.0071,306,1.007215,114,15,0.002559,0.004056,0.002781,NO,NO
1.0072,1.0074,1.0063,1.0069,281,1.00681,121,20,0.0028275,0.003423,0.001539,NO,NO
1.0068,1.00715,1.0066,1.00665,258,1.006875,115,25,0.0023475,0.00204,-0.0007785,SELL,NO
1.0067,1.00805,1.0067,1.0079,298,1.007515,128,30,0.0018675,0.001452,-0.0008685,SELL,NO
1.008,1.00815,1.0072,1.0073,527,1.007605,177,35,0.002688,0.003174,0.0023535,NO,NO
1.00745,1.0078,1.00715,1.00715,126,1.00745,61,40,0.0020955,0.001794,0.0011745,SELL,NO
1.00715,1.0072,1.00575,1.00575,267,1.00646,128,45,0.001614,0.000669,-0.0002205,SELL,NO
1.0058,1.0065,1.0057,1.00645,103,1.006075,53,50,-6.30E-05,-0.002157,-0.004059,SELL,NO
1.0064,1.00665,1.0061,1.0063,85,1.00635,58,55,-0.000237,-0.002079,-0.002376,SELL,NO
1.00625,1.00625,1.0054,1.0056,286,1.00566,130,0,-0.000576,-0.002163,-0.0010215,NO,NO
1.00575,1.00655,1.00565,1.00635,151,1.006185,81,5,-0.0015795,-0.003975,-0.0015525,NO,NO
1.00645,1.00665,1.00615,1.00645,221,1.006415,144,10,-0.0008535,-0.002256,0.0009,NO,NO
1.0064,1.0065,1.006,1.0063,404,1.00629,114,15,-0.0008355,-0.001176,0.000918,NO,NO
1.00645,1.00685,1.006,1.00685,208,1.00631,93,20,-0.0009975,-0.000513,0.000837,BUY,NO
1.00685,1.0075,1.00685,1.0073,203,1.007145,113,25,-0.0009375,0.001065,0.001008,NO,NO
1.0073,1.0082,1.0072,1.0079,168,1.007755,97,30,-4.20E-05,0.002772,0.002457,NO,NO
1.008,1.0086,1.008,1.00815,355,1.0083,126,35,0.001176,0.00414,0.003609,NO,NO
1.00835,1.00835,1.0078,1.0081,198,1.008025,106,40,0.0020895,0.00525,0.003411,NO,NO
1.00805,1.00825,1.00755,1.00765,122,1.007915,61,45,0.0022815,0.00417,0.0008325,NO,NO
1.00765,1.0078,1.0074,1.00775,108,1.00767,50,50,0.002058,0.002982,-0.0007785,NO,NO
1.00775,1.0085,1.0077,1.0083,87,1.00798,49,55,0.001869,0.002004,-0.000963,NO,NO
1.0083,1.0084,1.00785,1.0084,170,1.00812,75,0,0.002403,0.00183,0.000873,SELL,NO
1.00825,1.0083,1.0078,1.00825,88,1.008055,59,5,0.002262,0.000909,0.0009495,NO,NO
1.0082,1.0088,1.008,1.0087,101,1.008445,55,10,0.001905,0.000309,0.0006165,NO,NO
1.0087,1.009,1.00865,1.00875,193,1.008815,74,15,0.002037,0.001428,0.001521,NO,NO
1.00875,1.00955,1.00875,1.00915,192,1.009215,98,20,0.001686,0.002124,0.0015255,NO,NO
1.00925,1.0093,1.00885,1.0093,129,1.00905,65,25,0.0017115,0.003147,0.00216,NO,NO
1.00935,1.00955,1.0086,1.0089,95,1.00904,63,30,0.0014415,0.002985,0.0011475,NO,NO
1.0087,1.00875,1.0085,1.00855,72,1.00866,49,35,0.001071,0.001728,-0.000576,NO,NO
1.0086,1.00905,1.00855,1.00865,113,1.008785,67,40,0.000879,0.000651,-0.0013005,SELL,NO
1.00865,1.0088,1.00805,1.00815,132,1.00831,85,45,0.0009555,0.000204,-0.0005985,SELL,NO
1.0083,1.00885,1.0082,1.00875,145,1.00838,82,50,0.0004185,-0.001383,-0.0014175,SELL,NO
1.0087,1.00895,1.008,1.008,134,1.00847,79,55,0.000468,-0.001176,2.25E-05,NO,NO
1.00805,1.0082,1.00785,1.00815,141,1.008045,82,0,-0.0001185,-0.001755,-0.0008145,NO,NO
1.00805,1.00805,1.0076,1.00765,172,1.00777,77,5,-0.000702,-0.002007,-0.0009135,NO,NO
1.00775,1.00795,1.0075,1.0078,209,1.00777,84,10,-0.0013455,-0.002253,-0.0014625,NO,NO
1.0078,1.00795,1.0071,1.0073,452,1.007455,134,15,-0.001494,-0.001797,-0.0008235,NO,NO
1.00725,1.0074,1.00685,1.0069,251,1.007095,108,20,-0.0019665,-0.002721,-0.001467,NO,NO
1.00685,1.007,1.0066,1.00675,171,1.00683,76,25,-0.0022935,-0.003189,-0.00198,NO,NO
1.0067,1.007,1.0066,1.0066,65,1.00684,45,30,-0.0023205,-0.003363,-0.001881,NO,NO
1.00675,1.0069,1.0064,1.0068,169,1.00666,65,35,-0.0020865,-0.002925,-0.000936,NO,NO
1.0068,1.007,1.0062,1.0062,133,1.006655,87,40,-0.0021075,-0.002472,-0.0004545,NO,NO
1.0063,1.0064,1.0059,1.00605,202,1.0061,109,45,-0.0021885,-0.002508,-0.0009675,NO,NO
1.00615,1.00715,1.006,1.0068,240,1.006765,122,50,-0.0024495,-0.00279,-0.0015795,NO,NO
1.0067,1.00685,1.0063,1.00645,286,1.006645,84,55,-0.0015375,-0.000774,0.000675,BUY,NO
1.00645,1.0069,1.0064,1.0068,123,1.006565,56,0,-0.001455,-0.000741,2.25E-05,BUY,NO
1.0067,1.00745,1.0067,1.00695,148,1.007235,80,5,-0.001068,-0.000273,0.0004095,BUY,NO
1.0072,1.0072,1.0062,1.00625,184,1.00651,107,10,-8.40E-05,0.001569,0.001494,NO,NO
1.0063,1.0066,1.00565,1.0061,241,1.00613,95,15,-0.00078,-0.000336,-0.0012015,NO,NO
1.0061,1.00635,1.0061,1.0062,142,1.00624,103,20,-0.0008895,-0.001023,-0.001782,SELL,NO
1.00625,1.0064,1.0058,1.0064,196,1.006065,83,25,-0.0006015,-0.000657,-0.0010215,SELL,NO
1.00675,1.0073,1.00525,1.0069,467,1.006215,261,30,-0.0001875,-0.000948,0.0006165,NO,NO
1.007,1.00755,1.00685,1.00735,224,1.007215,142,35,7.50E-05,-0.000315,0.001602,NO,NO
1.00735,1.0079,1.00695,1.0075,567,1.007315,230,40,0.0008895,0.001614,0.0030555,BUY,NO
1.0075,1.00775,1.0069,1.00725,222,1.00725,121,45,0.0010665,0.002109,0.002538,BUY,NO
1.0073,1.0081,1.0072,1.00735,330,1.00752,170,50,0.000567,0.002493,0.0009945,NO,NO
1.0073,1.00745,1.00675,1.007,336,1.007125,153,55,0.0008055,0.002994,0.000306,NO,NO
1.0069,1.00745,1.0064,1.00725,466,1.00689,174,0,0.000483,0.001389,-0.001044,NO,NO
1.0072,1.0079,1.0071,1.00775,519,1.0075,224,5,0.0006195,0.000822,-0.0005445,NO,NO
1.0077,1.00785,1.0072,1.00745,307,1.0075,146,10,0.0016365,0.001443,0.0012285,SELL,NO
1.00745,1.0075,1.00635,1.0066,1056,1.006985,205,15,0.001575,0.00036,0.0007965,NO,NO
1.0066,1.00675,1.006,1.00615,357,1.006295,181,20,0.0004305,-0.001224,-0.0015345,SELL,EXECUTE
1.0061,1.0063,1.0058,1.00595,329,1.006015,172,25,-0.000606,-0.002397,-0.003141,SELL,NO
1.006,1.0065,1.0058,1.00585,289,1.006195,162,30,-0.0011895,-0.003003,-0.0024885,NO,NO
1.0058,1.00625,1.00575,1.0059,240,1.006075,110,35,-0.001593,-0.003015,-0.00135,NO,NO
1.0059,1.00625,1.00535,1.00625,438,1.005825,190,40,-0.001578,-0.002955,-0.000567,NO,NO
1.00625,1.00665,1.00585,1.0059,768,1.006165,239,45,-0.0013905,-0.002478,3.60E-05,NO,NO
1.0059,1.0061,1.0053,1.0061,312,1.00565,173,50,-0.0014715,-0.001599,-0.000117,NO,NO
1.0059,1.0064,1.00585,1.0062,279,1.00611,177,55,-0.0017745,-0.001434,-0.0005535,BUY,NO
1.0063,1.00655,1.0048,1.0048,522,1.005645,249,0,-0.0012165,0.000144,0.000963,BUY,NO
1.0049,1.0057,1.0048,1.005,357,1.00516,198,5,-0.002157,-0.001812,-0.002232,NO,NO
1.00495,1.0057,1.00495,1.0051,1343,1.005435,259,10,-0.0019725,-0.002424,-0.0021105,NO,NO
1.00505,1.00545,1.00485,1.00505,225,1.005195,121,15,-0.001356,-0.001647,-0.001242,NO,NO
1.0051,1.00515,1.00435,1.00475,611,1.00464,263,20,-0.001197,-0.001896,-0.0007605,NO,NO
1.00475,1.00485,1.00415,1.00425,522,1.004545,234,25,-0.001599,-0.002874,-0.001485,NO,NO
1.0042,1.00525,1.0042,1.0052,682,1.0048,226,30,-0.002031,-0.003045,-0.0020925,NO,NO
1.00515,1.0054,1.00465,1.0052,181,1.00501,98,35,-0.0011445,-0.00147,0.000648,NO,NO
1.00515,1.0056,1.0049,1.0054,243,1.005185,143,40,-0.001029,-0.000669,0.0011925,BUY,NO
1.0055,1.0061,1.00495,1.0051,334,1.005585,157,45,-0.00066,0.000564,0.001647,BUY,NO
1.0051,1.0068,1.00495,1.00665,827,1.00598,381,50,-0.0003585,0.000933,0.000711,NO,NO
1.0067,1.0069,1.00565,1.0068,2159,1.006145,414,55,0.000903,0.003708,0.00324,NO,NO
1.0068,1.0074,1.0067,1.0074,383,1.00694,164,0,0.0013365,0.004137,0.0026955,NO,NO
1.00735,1.0074,1.00705,1.0071,223,1.007205,98,5,0.002445,0.005424,0.003537,NO,NO
1.00715,1.00755,1.00695,1.00715,290,1.007215,113,10,0.0026685,0.004878,0.002196,NO,NO
1.00715,1.00715,1.00655,1.00665,266,1.00683,96,15,0.002865,0.004182,0.0011025,NO,NO
1.00665,1.00725,1.00655,1.00705,261,1.00688,115,20,0.0023895,0.002439,-0.001107,NO,NO
1.00705,1.00705,1.0063,1.0063,378,1.00663,134,25,0.002496,0.001926,-0.000243,SELL,NO
1.00625,1.00685,1.0062,1.00665,503,1.006615,214,30,0.001554,-0.000306,-0.0016155,SELL,NO
1.0066,1.0069,1.00635,1.00675,341,1.00667,190,35,0.001401,-0.000645,-0.0004725,NO,NO
1.00675,1.00725,1.0067,1.0072,522,1.007015,123,40,0.0011835,-0.00081,4.05E-05,NO,NO
1.0072,1.0072,1.0069,1.00695,670,1.00709,198,45,0.001134,0.00018,0.00135,NO,NO
1.00705,1.0071,1.0066,1.00675,296,1.00693,75,50,0.000603,0.000435,0.000801,NO,NO
1.00675,1.00675,1.0061,1.0064,212,1.006325,96,55,-4.35E-05,0.000243,-0.0003105,NO,NO
1.0064,1.00645,1.00575,1.00605,360,1.006035,155,0,-0.000822,-0.000807,-0.001719,NO,NO
1.0059,1.0067,1.00585,1.00655,165,1.00626,62,5,-0.001278,-0.001836,-0.002259,SELL,NO
1.0066,1.00705,1.00655,1.00705,109,1.00677,44,10,-0.0005505,-0.001002,0.000153,NO,NO
1.007,1.00725,1.00675,1.0069,166,1.007015,72,15,0.0001755,-9.90E-05,0.001935,NO,NO
1.00685,1.0069,1.0065,1.0069,230,1.00663,74,20,0.0002805,0.000222,0.001485,NO,NO
1.00685,1.007,1.0068,1.00685,74,1.00689,31,25,9.00E-06,0.000348,0.0002565,NO,NO
1.0069,1.00695,1.00665,1.0067,103,1.00681,39,30,5.70E-05,0.001218,0.0002475,NO,NO
1.00685,1.00765,1.0067,1.0074,279,1.007245,105,35,-0.0001155,0.001158,-2.25E-05,NO,NO
1.00735,1.00795,1.00735,1.0078,260,1.007715,116,40,0.000549,0.001866,0.0014535,NO,NO
1.00775,1.0078,1.0073,1.0073,165,1.007475,72,45,0.001365,0.002553,0.002043,NO,NO
1.00735,1.0075,1.00715,1.00725,59,1.00729,35,50,0.00123,0.001407,0.0003645,NO,NO
1.00715,1.00725,1.00665,1.00675,143,1.00696,51,55,0.001047,0.000921,-0.0007605,SELL,NO
1.00685,1.0069,1.0064,1.0065,139,1.00673,54,0,0.000462,2.70E-05,-0.001638,SELL,NO
1.0065,1.0068,1.0065,1.00665,58,1.006645,33,5,-6.45E-05,-0.00132,-0.0017955,SELL,NO
1.00665,1.00685,1.0066,1.0068,51,1.006765,35,10,-0.0002145,-0.001593,-0.0009315,NO,NO
1.00685,1.007,1.00675,1.0068,62,1.00688,28,15,-3.45E-05,-0.001497,0.000117,NO,NO
1.00675,1.0068,1.0067,1.0067,68,1.00673,27,20,-9.45E-05,-0.001308,0.000216,NO,NO
1.00675,1.00675,1.00655,1.0066,33,1.006635,19,25,-0.00051,-0.000897,-5.40E-05,NO,NO
1.00655,1.0068,1.00645,1.0067,160,1.00668,91,30,-0.0008625,-0.000753,-0.000576,BUY,NO
1.0067,1.00675,1.0066,1.0067,65,1.00671,29,35,-0.0008895,-0.000204,-0.0001485,BUY,NO
1.0067,1.00675,1.00655,1.0066,91,1.00667,43,40,-0.000786,-0.00012,5.85E-05,BUY,NO
1.0067,1.0067,1.00595,1.006,91,1.00623,41,45,-0.0005145,-0.000168,4.05E-05,BUY,NO
1.006,1.00625,1.006,1.0061,126,1.006165,47,50,-0.0009495,-0.00153,-0.001647,SELL,NO
1.006,1.006,1.0056,1.00575,392,1.005815,95,55,-0.000831,-0.001557,-0.0013005,NO,NO
1.0058,1.00595,1.0055,1.00555,107,1.0057,35,0,-0.001137,-0.002115,-0.001485,NO,NO
1.00555,1.00585,1.00555,1.00575,88,1.005685,36,5,-0.001356,-0.002517,-0.001269,NO,NO
1.0057,1.0058,1.0054,1.00565,366,1.00556,128,10,-0.001272,-0.002112,-0.0005355,NO,NO
1.0056,1.00585,1.00545,1.00555,423,1.00568,61,15,-0.0013815,-0.002073,-0.000396,NO,NO
